,ID,YEAR,PRCP,TMAX,TMIN
86072,USW00094967,1996,672.8,8.600551847732044,-3.4940341119762786
86073,USW00094967,1997,716.7,10.360809011776762,-1.4818452380952412
86074,USW00094967,1998,605.0,12.583176523297482,1.1543266769073244
86075,USW00094967,1999,794.9,11.714839349718382,-0.2938108038914553
86076,USW00094967,2000,593.7,10.51421449317584,-1.7497399447357653
86077,USW00094967,2001,516.5,11.278490143369167,-0.9226785714285805
86078,USW00094967,2002,626.0,10.109637736815154,-1.0306041986687255
86079,USW00094967,2003,425.40000000000003,10.46016065028162,-1.9190392985151075
86080,USW00094967,2004,623.2,9.954491410208876,-1.953840069212717
86081,USW00094967,2005,713.4,11.082424916573965,-0.44473405194485177
86082,USW00094967,2006,484.8,12.24276625704046,0.2564996159754311
86083,USW00094967,2007,536.7,11.62908886613188,-0.22873940376629007
86084,USW00094967,2008,649.4,9.823008589791126,-2.593708132492882
86085,USW00094967,2009,554.3000000000001,9.172886584741418,-2.530832053251418
86086,USW00094967,2010,719.2,11.08368151561699,-1.0360643881208509
86087,USW00094967,2011,461.5,10.582620967741942,-1.3398143881208435
86088,USW00094967,2012,559.2,12.469205069124433,0.03399385560676116
86089,USW00094967,2013,545.6999999999999,9.081117533591112,-2.9445682151243893
86090,USW00094967,2014,514.1,8.72778161802356,-3.1998201484895077
86091,USW00094967,2015,640.5,12.289600923424617,0.3741346204777816
86092,USW00094967,2016,663.6,12.266317822271661,1.248661784699048
86093,USW00094967,2017,535.0,11.276647752352709,-0.6742425225559154
86094,USW00094967,2018,561.8,9.856904761904753,-1.8500313620071662
86095,USW00094967,2019,748.9,8.90187403993855,-2.5979749103942678
86096,USW00094967,2020,528.9,10.926976887900137,-1.392646768013848
86097,USW00094967,2021,455.5,12.319999999999993,-0.13214605734767262
86098,USW00094967,2022,503.8,9.540976062468,-2.4997439836149593
86099,USW00094967,2023,462.90000000000003,12.056066948284693,0.07667242703532658
